StartTime to EndTime
18:35:35 to 18:36:23
18:36:23 to 18:37:05
18:37:05 to 18:37:56
18:37:56 to 18:38:45
18:38:45 to 18:39:20
18:39:20 to 18:39:51
18:39:51 to 18:40:30
18:40:30 to 18:41:25
18:41:25 to 18:42:05
18:42:05 to 18:42:55
18:42:55 to 18:43:40
18:43:40 to 18:44:18
18:44:18 to 18:44:44
18:44:44 to 18:45:28
18:45:28 to 18:45:53
18:45:53 to 18:46:30
18:46:30 to 18:47:09
18:49:52 to 18:50:34
18:50:34 to 18:51:02
18:51:02 to 18:51:59
18:51:59 to 18:52:53
18:52:53 to 18:53:43
18:53:43 to 18:54:32
18:54:32 to 18:55:27
18:55:27 to 18:56:05
18:56:05 to 18:56:24
18:56:24 to 18:56:52
18:56:52 to 18:57:17
18:57:17 to 18:57:41
18:57:41 to 18:58:04
18:58:04 to 18:58:24
18:58:24 to 18:59:03
18:59:03 to 18:59:24
18:59:25 to 19:00:06
19:00:06 to 19:00:34
19:03:53 to 19:05:04
19:05:04 to 19:05:43
19:05:43 to 19:06:10
19:06:10 to 19:06:31
19:06:31 to 19:06:59
19:06:59 to 19:07:27
19:07:27 to 19:07:50
19:07:50 to 19:08:09
19:08:09 to 19:08:30
19:08:30 to 19:09:18
19:09:18 to 19:09:37
19:09:37 to 19:10:14
19:10:14 to 19:10:43
19:10:43 to 19:11:14
19:11:14 to 19:11:38
19:11:38 to 19:12:04
19:12:04 to 19:12:39
19:12:39 to 19:13:00
19:15:22 to 19:15:53
19:15:53 to 19:16:18
19:16:18 to 19:16:42
19:16:42 to 19:17:06
19:17:06 to 19:17:40
19:17:40 to 19:18:17
19:18:17 to 19:18:50
19:18:50 to 19:19:17
19:19:17 to 19:19:38
19:19:38 to 19:19:58
19:19:58 to 19:20:20
19:20:20 to 19:20:40
19:20:40 to 19:21:08
19:21:08 to 19:21:37
19:21:37 to 19:21:58
19:21:58 to 19:22:14
19:22:14 to 19:22:36
19:22:36 to 19:23:18
19:23:18 to 19:23:40
12:27:29 to 12:28:03
12:28:03 to 12:28:33
12:28:34 to 12:29:03
12:29:03 to 12:29:39
12:29:39 to 12:30:09
12:30:09 to 12:30:29
12:30:29 to 12:31:01
12:31:01 to 12:31:33
12:31:33 to 12:32:02
12:32:02 to 12:32:29
12:32:29 to 12:33:03
12:33:03 to 12:33:28
12:33:28 to 12:33:49
12:33:49 to 12:34:16
12:34:16 to 12:34:42
12:34:42 to 12:35:08
12:35:08 to 12:35:35
12:35:35 to 12:35:54
12:35:54 to 12:36:16
12:39:26 to 12:39:53
12:39:53 to 12:40:27
12:40:27 to 12:41:04
12:41:04 to 12:41:30
12:41:30 to 12:41:47
12:41:47 to 12:42:08
12:42:08 to 12:42:38
12:42:38 to 12:43:02
12:43:02 to 12:43:36
12:43:36 to 12:43:57
12:43:57 to 12:44:21
12:44:21 to 12:44:40
12:44:40 to 12:44:59
12:44:59 to 12:45:22
12:45:22 to 12:45:52
12:45:52 to 12:46:14
12:46:14 to 12:46:46
12:46:46 to 12:47:09
12:49:34 to 12:50:09
12:50:09 to 12:50:36
12:50:36 to 12:51:06
12:51:06 to 12:51:29
12:51:29 to 12:51:52
12:51:52 to 12:52:15
12:52:15 to 12:52:44
12:52:44 to 12:53:08
12:53:08 to 12:53:36
12:53:36 to 12:54:02
12:54:02 to 12:54:26
12:54:26 to 12:54:48
12:54:48 to 12:55:09
12:55:09 to 12:55:37
12:55:37 to 12:56:03
12:56:03 to 12:56:41
12:56:41 to 12:57:09
12:57:09 to 12:57:33
12:59:55 to 13:00:55
13:00:55 to 13:01:20
13:01:20 to 13:01:44
13:01:44 to 13:02:19
13:02:19 to 13:02:55
13:02:55 to 13:03:28
13:03:28 to 13:04:06
13:04:06 to 13:04:27
13:04:28 to 13:04:55
13:04:55 to 13:05:15
13:05:15 to 13:05:40
13:05:40 to 13:06:10
13:06:10 to 13:06:30
13:06:31 to 13:06:54
13:06:54 to 13:07:29
13:07:29 to 13:07:49
13:07:49 to 13:08:10
13:08:10 to 13:08:30
13:08:30 to 13:08:46
13:10:32 to 13:11:09
13:11:09 to 13:11:28
13:11:28 to 13:11:47
13:11:47 to 13:12:11
13:12:11 to 13:12:34
13:12:34 to 13:12:53
13:12:53 to 13:13:14
13:13:14 to 13:13:40
13:13:40 to 13:14:10
13:14:10 to 13:14:32
13:14:32 to 13:15:00
13:15:00 to 13:15:19
13:15:19 to 13:15:36
13:15:36 to 13:15:57
13:15:57 to 13:16:21
13:16:21 to 13:16:43
13:16:43 to 13:17:07
13:17:07 to 13:17:32
13:17:32 to 13:17:51
10:27:51 to 10:29:16
10:29:16 to 10:30:12
10:30:12 to 10:30:54
10:30:55 to 10:32:14
10:32:15 to 10:32:40
10:32:40 to 10:33:07
10:33:07 to 10:33:38
10:33:38 to 10:34:12
10:34:12 to 10:34:51
10:34:51 to 10:35:20
10:35:20 to 10:35:43
10:35:43 to 10:36:18
10:36:18 to 10:36:52
10:36:52 to 10:37:18
10:37:18 to 10:38:00
10:38:00 to 10:38:18
10:38:18 to 10:38:44
10:38:44 to 10:39:10
10:39:10 to 10:39:34
10:42:54 to 10:43:29
10:43:29 to 10:44:18
10:44:18 to 10:44:54
10:44:54 to 10:45:15
10:45:15 to 10:45:38
10:45:38 to 10:46:04
10:46:04 to 10:46:31
10:46:31 to 10:46:54
10:46:54 to 10:47:14
10:47:14 to 10:47:37
10:47:37 to 10:47:56
10:47:56 to 10:48:22
10:48:22 to 10:48:40
10:48:40 to 10:49:03
10:49:03 to 10:49:36
10:49:36 to 10:50:10
10:50:10 to 10:50:34
10:50:34 to 10:51:13
10:52:56 to 10:53:22
10:53:22 to 10:54:05
10:54:05 to 10:54:24
10:54:24 to 10:54:57
10:54:57 to 10:55:29
10:55:29 to 10:55:50
10:55:50 to 10:56:11
10:56:11 to 10:56:32
10:56:32 to 10:56:59
10:56:59 to 10:57:22
10:57:22 to 10:57:44
10:57:44 to 10:58:05
10:58:05 to 10:58:25
10:58:25 to 10:58:45
10:58:45 to 10:59:03
10:59:03 to 10:59:27
10:59:28 to 10:59:50
10:59:50 to 11:00:13
11:02:04 to 11:02:27
11:02:27 to 11:02:53
11:02:53 to 11:03:18
11:03:18 to 11:03:39
11:03:39 to 11:04:01
11:04:01 to 11:04:33
11:04:33 to 11:05:00
11:05:00 to 11:05:20
11:05:20 to 11:05:39
11:05:39 to 11:06:02
11:06:02 to 11:06:21
11:06:21 to 11:06:46
11:06:46 to 11:07:08
11:07:08 to 11:07:33
11:07:33 to 11:08:07
11:08:07 to 11:08:27
11:08:27 to 11:08:48
11:08:48 to 11:09:07
11:09:07 to 11:09:25
11:10:50 to 11:11:16
11:11:16 to 11:11:45
11:11:45 to 11:12:03
11:12:03 to 11:12:25
11:12:25 to 11:12:43
11:12:43 to 11:13:10
11:13:10 to 11:13:34
11:13:34 to 11:13:57
11:13:57 to 11:14:16
11:14:16 to 11:14:36
11:14:36 to 11:14:53
11:14:53 to 11:15:15
11:15:15 to 11:15:32
11:15:32 to 11:16:01
11:16:01 to 11:16:24
11:16:24 to 11:16:43
11:16:43 to 11:17:00
11:17:01 to 11:17:18
14:57:15 to 14:57:45
14:57:46 to 14:58:11
14:58:11 to 14:58:53
14:58:53 to 14:59:25
14:59:25 to 14:59:50
14:59:50 to 15:00:23
15:00:23 to 15:00:53
15:00:53 to 15:01:32
15:01:32 to 15:01:56
15:01:57 to 15:02:22
15:02:22 to 15:02:44
15:02:44 to 15:03:03
15:03:03 to 15:03:26
15:03:26 to 15:03:51
15:03:51 to 15:04:21
15:04:21 to 15:05:03
15:05:03 to 15:05:42
15:05:42 to 15:06:13
15:11:04 to 15:11:41
15:11:41 to 15:12:32
15:12:32 to 15:12:59
15:12:59 to 15:13:39
15:13:39 to 15:14:51
15:14:51 to 15:15:17
15:15:17 to 15:16:06
15:16:06 to 15:16:34
15:16:34 to 15:17:19
15:17:19 to 15:17:56
15:17:56 to 15:18:25
15:18:25 to 15:18:50
15:18:50 to 15:19:20
15:19:20 to 15:19:48
15:19:48 to 15:20:15
15:20:15 to 15:20:39
15:20:39 to 15:21:08
15:21:08 to 15:21:35
15:21:35 to 15:22:04
15:25:01 to 15:25:30
15:25:30 to 15:25:58
15:25:58 to 15:26:20
15:26:20 to 15:26:39
15:26:39 to 15:27:09
15:27:09 to 15:27:39
15:27:39 to 15:28:04
15:28:04 to 15:28:31
15:28:31 to 15:28:53
15:28:53 to 15:29:20
15:29:20 to 15:29:43
15:29:43 to 15:30:04
15:30:04 to 15:30:26
15:30:26 to 15:30:55
15:30:55 to 15:31:18
15:31:18 to 15:31:42
15:31:42 to 15:32:08
15:32:08 to 15:32:39
15:32:39 to 15:32:59
15:35:37 to 15:36:18
15:36:18 to 15:36:45
15:36:45 to 15:37:06
15:37:06 to 15:37:41
15:37:41 to 15:38:09
15:38:09 to 15:38:43
15:38:43 to 15:39:00
15:39:00 to 15:39:24
15:39:24 to 15:39:47
15:39:47 to 15:40:09
15:40:09 to 15:40:34
15:40:34 to 15:40:55
15:40:55 to 15:41:19
15:41:19 to 15:41:44
15:41:44 to 15:42:06
15:42:06 to 15:42:28
15:42:28 to 15:43:03
15:43:03 to 15:43:25
15:46:22 to 15:46:48
15:46:48 to 15:47:06
15:47:07 to 15:47:44
15:47:44 to 15:48:10
15:48:10 to 15:48:35
15:48:35 to 15:48:56
15:48:56 to 15:49:22
15:49:22 to 15:49:45
15:49:45 to 15:50:10
15:50:10 to 15:50:31
15:50:31 to 15:50:56
15:50:56 to 15:51:23
15:51:23 to 15:51:44
15:51:44 to 15:52:11
15:52:11 to 15:52:41
15:52:41 to 15:53:11
15:53:11 to 15:53:34
15:53:34 to 15:53:55
15:53:55 to 15:54:14
15:49:46 to 15:50:34
15:50:34 to 15:51:18
15:51:18 to 15:51:48
15:51:48 to 15:52:31
15:52:31 to 15:53:11
15:53:11 to 15:53:39
15:53:39 to 15:54:06
15:54:06 to 15:54:47
15:54:47 to 15:55:18
15:55:18 to 15:55:47
15:55:47 to 15:56:20
15:56:20 to 15:57:02
15:57:02 to 15:57:23
15:57:23 to 15:58:04
15:58:04 to 15:58:57
15:58:57 to 15:59:23
15:59:23 to 16:00:07
16:00:07 to 16:00:44
16:04:20 to 16:05:16
16:05:17 to 16:06:15
16:06:15 to 16:06:45
16:06:45 to 16:07:31
16:07:31 to 16:08:12
16:08:12 to 16:08:37
16:08:37 to 16:09:10
16:09:10 to 16:09:59
16:09:59 to 16:10:30
16:10:30 to 16:11:02
16:11:02 to 16:11:31
16:11:31 to 16:12:12
16:12:12 to 16:12:38
16:12:38 to 16:13:08
16:13:08 to 16:13:36
16:13:36 to 16:14:17
16:14:17 to 16:14:57
16:14:57 to 16:15:33
16:15:33 to 16:16:04
16:19:54 to 16:20:38
16:20:38 to 16:21:09
16:21:09 to 16:21:35
16:21:35 to 16:22:12
16:22:12 to 16:22:40
16:22:40 to 16:23:11
16:23:12 to 16:23:41
16:23:41 to 16:24:08
16:24:08 to 16:24:30
16:24:30 to 16:24:58
16:24:58 to 16:25:39
16:25:39 to 16:26:10
16:26:10 to 16:26:34
16:26:34 to 16:27:04
16:27:04 to 16:27:33
16:27:33 to 16:27:56
16:27:56 to 16:28:30
16:28:30 to 16:28:57
16:31:12 to 16:31:47
16:31:47 to 16:32:22
16:32:22 to 16:32:52
16:32:52 to 16:33:21
16:33:21 to 16:33:49
16:33:49 to 16:34:14
16:34:14 to 16:34:48
16:34:48 to 16:35:13
16:35:13 to 16:35:44
16:35:44 to 16:36:15
16:36:15 to 16:36:40
16:36:40 to 16:37:13
16:37:13 to 16:37:41
16:37:41 to 16:38:05
16:38:05 to 16:38:32
16:38:32 to 16:39:12
16:39:12 to 16:39:39
16:39:40 to 16:40:06
16:40:06 to 16:40:27
16:42:45 to 16:43:07
16:43:07 to 16:43:23
16:43:23 to 16:43:43
16:43:43 to 16:44:04
16:44:04 to 16:44:28
16:44:28 to 16:44:46
16:44:46 to 16:45:04
16:45:04 to 16:45:22
16:45:22 to 16:45:50
16:45:50 to 16:46:13
16:46:13 to 16:46:36
16:46:36 to 16:46:55
16:46:55 to 16:47:14
16:47:14 to 16:47:39
16:47:39 to 16:48:04
16:48:04 to 16:48:28
16:48:28 to 16:48:49
16:48:49 to 16:49:13
16:49:13 to 16:49:32
15:50:23 to 15:50:53
15:50:53 to 15:51:34
15:51:34 to 15:51:54
15:51:54 to 15:52:33
15:52:33 to 15:52:55
15:52:55 to 15:53:23
15:53:23 to 15:53:45
15:53:45 to 15:54:11
15:54:11 to 15:54:39
15:54:39 to 15:55:02
15:55:02 to 15:55:34
15:55:34 to 15:55:56
15:55:56 to 15:56:21
15:56:21 to 15:56:46
15:56:46 to 15:57:12
15:57:12 to 15:57:37
15:57:37 to 15:58:02
15:58:02 to 15:58:24
16:00:49 to 16:01:35
16:01:35 to 16:02:12
16:02:12 to 16:02:55
16:02:55 to 16:03:48
16:03:48 to 16:04:34
16:04:34 to 16:05:00
16:05:00 to 16:05:24
16:05:24 to 16:06:00
16:06:00 to 16:06:43
16:06:43 to 16:07:12
16:07:12 to 16:07:44
16:07:44 to 16:08:25
16:08:25 to 16:08:46
16:08:46 to 16:09:12
16:09:12 to 16:09:43
16:09:43 to 16:10:06
16:10:06 to 16:10:46
16:10:46 to 16:11:14
16:11:14 to 16:11:34
16:13:10 to 16:13:35
16:13:35 to 16:14:16
16:14:16 to 16:14:37
16:14:37 to 16:14:56
16:14:56 to 16:15:17
16:15:17 to 16:15:44
16:15:44 to 16:16:08
16:16:08 to 16:16:28
16:16:28 to 16:16:52
16:16:52 to 16:17:13
16:17:13 to 16:17:36
16:17:36 to 16:18:02
16:18:02 to 16:18:24
16:18:24 to 16:18:45
16:18:45 to 16:19:08
16:19:08 to 16:19:29
16:19:29 to 16:19:51
16:19:51 to 16:20:15
16:21:45 to 16:22:15
16:22:15 to 16:22:44
16:22:44 to 16:23:09
16:23:09 to 16:23:32
16:23:32 to 16:23:50
16:23:50 to 16:24:13
16:24:13 to 16:24:40
16:24:40 to 16:25:02
16:25:02 to 16:25:20
16:25:20 to 16:25:38
16:25:38 to 16:25:58
16:25:58 to 16:26:19
16:26:19 to 16:26:43
16:26:43 to 16:27:05
16:27:05 to 16:27:25
16:27:25 to 16:27:47
16:27:47 to 16:28:08
16:28:08 to 16:28:28
16:28:28 to 16:28:47
16:30:33 to 16:30:59
16:30:59 to 16:31:19
16:31:19 to 16:31:42
16:31:42 to 16:32:03
16:32:03 to 16:32:21
16:32:21 to 16:32:42
16:32:43 to 16:33:02
16:33:02 to 16:33:24
16:33:24 to 16:33:46
16:33:46 to 16:34:05
16:34:05 to 16:34:25
16:34:25 to 16:34:45
16:34:45 to 16:35:04
16:35:04 to 16:35:23
16:35:23 to 16:35:43
16:35:43 to 16:36:04
16:36:04 to 16:36:27
16:36:27 to 16:36:48
12:15:09 to 12:15:48
12:15:48 to 12:16:24
12:16:24 to 12:17:00
12:17:00 to 12:17:34
12:17:34 to 12:18:15
12:18:15 to 12:19:09
12:19:09 to 12:19:38
12:19:38 to 12:20:08
12:20:08 to 12:20:38
12:20:38 to 12:21:19
12:21:19 to 12:21:44
12:21:44 to 12:22:09
12:22:09 to 12:22:46
12:22:46 to 12:23:17
12:23:17 to 12:23:51
12:23:51 to 12:24:21
12:24:21 to 12:24:58
12:24:58 to 12:25:28
12:27:52 to 12:28:45
12:28:45 to 12:29:27
12:29:27 to 12:29:53
12:29:53 to 12:30:31
12:30:31 to 12:30:56
12:30:56 to 12:31:20
12:31:20 to 12:32:07
12:32:07 to 12:32:38
12:32:38 to 12:33:24
12:33:24 to 12:34:04
12:34:04 to 12:34:40
12:34:40 to 12:35:32
12:35:33 to 12:36:06
12:36:06 to 12:36:45
12:36:45 to 12:37:12
12:37:12 to 12:37:34
12:37:34 to 12:38:04
12:38:04 to 12:38:24
12:38:24 to 12:39:01
12:40:51 to 12:41:18
12:41:18 to 12:41:38
12:41:38 to 12:42:02
12:42:02 to 12:42:25
12:42:25 to 12:42:48
12:42:48 to 12:43:10
12:43:10 to 12:43:42
12:43:42 to 12:44:10
12:44:10 to 12:44:30
12:44:30 to 12:44:56
12:44:56 to 12:45:21
12:45:21 to 12:45:43
12:45:43 to 12:46:02
12:46:02 to 12:46:27
12:46:27 to 12:46:57
12:46:57 to 12:47:15
12:47:15 to 12:47:44
12:47:44 to 12:48:02
12:49:43 to 12:50:07
12:50:07 to 12:50:34
12:50:34 to 12:50:55
12:50:55 to 12:51:24
12:51:24 to 12:51:44
12:51:44 to 12:52:08
12:52:08 to 12:52:37
12:52:37 to 12:53:00
12:53:00 to 12:53:23
12:53:23 to 12:53:52
12:53:52 to 12:54:16
12:54:16 to 12:54:39
12:54:39 to 12:55:01
12:55:01 to 12:55:23
12:55:23 to 12:55:51
12:55:51 to 12:56:14
12:56:14 to 12:56:37
12:56:37 to 12:56:56
12:56:56 to 12:57:20
12:58:50 to 12:59:08
12:59:08 to 12:59:24
12:59:24 to 12:59:42
12:59:42 to 13:00:01
13:00:01 to 13:00:19
13:00:19 to 13:00:36
13:00:36 to 13:01:00
13:01:00 to 13:01:24
13:01:24 to 13:01:45
13:01:45 to 13:02:09
13:02:09 to 13:02:34
13:02:34 to 13:02:58
13:02:58 to 13:03:19
13:03:19 to 13:03:46
13:03:46 to 13:04:08
13:04:08 to 13:04:29
13:04:29 to 13:04:48
13:04:48 to 13:05:11
13:05:11 to 13:05:29
11:27:53 to 11:28:20
11:28:20 to 11:28:42
11:28:42 to 11:29:06
11:29:06 to 11:29:29
11:29:29 to 11:29:49
11:29:49 to 11:30:15
11:30:15 to 11:30:34
11:30:35 to 11:30:54
11:30:54 to 11:31:16
11:31:16 to 11:31:36
11:31:36 to 11:32:06
11:32:06 to 11:32:25
11:32:25 to 11:32:41
11:32:41 to 11:33:02
11:33:02 to 11:33:21
11:33:21 to 11:33:40
11:33:40 to 11:34:00
11:34:00 to 11:34:20
11:34:20 to 11:34:37
11:36:08 to 11:36:41
11:36:41 to 11:37:05
11:37:05 to 11:37:23
11:37:23 to 11:37:47
11:37:47 to 11:38:11
11:38:11 to 11:38:30
11:38:30 to 11:38:48
11:38:48 to 11:39:29
11:39:30 to 11:39:48
11:39:48 to 11:40:10
11:40:10 to 11:40:30
11:40:30 to 11:40:57
11:40:57 to 11:41:14
11:41:14 to 11:41:31
11:41:31 to 11:41:53
11:41:53 to 11:42:12
11:42:12 to 11:42:39
11:42:39 to 11:42:59
11:42:59 to 11:43:16
11:44:21 to 11:44:50
11:44:50 to 11:45:13
11:45:13 to 11:45:30
11:45:30 to 11:45:48
11:45:48 to 11:46:06
11:46:06 to 11:46:31
11:46:31 to 11:46:48
11:46:48 to 11:47:06
11:47:06 to 11:47:29
11:47:30 to 11:47:55
11:47:55 to 11:48:11
11:48:11 to 11:48:30
11:48:30 to 11:48:46
11:48:46 to 11:49:03
11:49:03 to 11:49:19
11:49:19 to 11:49:39
11:49:39 to 11:49:58
11:49:58 to 11:50:21
11:51:38 to 11:51:54
11:51:54 to 11:52:11
11:52:11 to 11:52:27
11:52:27 to 11:52:44
11:52:44 to 11:53:04
11:53:04 to 11:53:22
11:53:22 to 11:53:37
11:53:37 to 11:54:02
11:54:02 to 11:54:20
11:54:20 to 11:54:45
11:54:45 to 11:55:06
11:55:06 to 11:55:24
11:55:24 to 11:55:41
11:55:41 to 11:55:56
11:55:56 to 11:56:12
11:56:12 to 11:56:37
11:56:37 to 11:56:57
11:56:57 to 11:57:13
11:58:22 to 11:58:41
11:58:41 to 11:58:59
11:58:59 to 11:59:16
11:59:16 to 11:59:31
11:59:32 to 11:59:49
11:59:49 to 12:00:08
12:00:08 to 12:00:23
12:00:23 to 12:00:45
12:00:45 to 12:01:08
12:01:08 to 12:01:25
12:01:25 to 12:01:43
12:01:43 to 12:02:00
12:02:00 to 12:02:18
12:02:18 to 12:02:35
12:02:35 to 12:02:53
12:02:53 to 12:03:10
12:03:10 to 12:03:26
12:03:26 to 12:03:42
12:03:42 to 12:03:58
12:20:31 to 12:20:48
12:20:48 to 12:21:14
12:21:14 to 12:21:45
12:21:45 to 12:22:10
12:22:10 to 12:22:30
12:22:30 to 12:22:53
12:22:53 to 12:23:18
12:23:18 to 12:23:54
12:23:55 to 12:24:21
12:24:21 to 12:24:45
12:24:45 to 12:25:05
12:25:05 to 12:25:22
12:25:22 to 12:25:47
12:25:47 to 12:26:09
12:26:09 to 12:26:33
12:26:33 to 12:26:50
12:26:50 to 12:27:12
12:27:12 to 12:27:42
12:30:12 to 12:30:36
12:30:36 to 12:30:54
12:30:54 to 12:31:16
12:31:16 to 12:31:37
12:31:38 to 12:32:01
12:32:01 to 12:32:19
12:32:19 to 12:32:35
12:32:35 to 12:32:57
12:32:57 to 12:33:16
12:33:16 to 12:33:37
12:33:37 to 12:33:59
12:33:59 to 12:34:18
12:34:18 to 12:34:34
12:34:34 to 12:35:01
12:35:01 to 12:35:20
12:35:20 to 12:35:36
12:35:37 to 12:35:59
